Metadata_id,Metadata_condition,Metadata_dose,Metadata_matrix,TrackObjects_Label,Track_Angle,Track_Integrated_Distance_Traveled,Track_DP,Track_Length,Track_Life_Time,Track_One_Cell,Track_MSD,Track_Positive_Sector,Track_Negative_Sector,Track_Neutral_Sector_Up,Track_Neutral_Sector_Down,Track_Sector,Track_Speed_max,Track_Speed,Track_Speed_Y,Track_Speed_X,Track_xFMI,Track_yFMI,Track_Directionality,Track_Distance_Traveled,Track_CI
C1,CP17,5,FN,1,2.89771385075257,40.9466714302803,2,23,23,TRUE,7.6004523776249195,1,0,0,0,1,6.8504987168305655,-0.19714010330563775,0.46680947836624587,-1.323493613120495,-1.7937397367575472,0.5079021296257286,0.9814535762667702,-0.6721080618354004,0.7722063356673271
C1,CP17,5,FN,10,2.5378490399144136,81.65446336851454,2,46,46,TRUE,4.889217097481018,1,0,0,0,1,12.196710361513256,-0.2391788229033281,0.7267245400502899,-0.6795838591853018,-1.0697760670176166,0.9856403700920274,0.6997366885353234,-0.32844423325016325,0.4638416535238657
C1,CP17,5,FN,11,2.647090658084711,106.34085716101072,2,67,67,TRUE,1.535523398836967,1,0,0,0,1,7.7831879973878975,-0.42232617839930114,0.5825673453853308,-0.546297071806437,-1.1509743132332748,0.8113344051925458,0.6410840056308215,-0.11637756183398026,0.5832323864931751
C1,CP17,5,FN,117,1.8362882333120991,57.51823705046036,2,26,26,TRUE,0.3888665846280026,0,0,1,0,3,62.060478390873136,0.1987726837490495,1.4654559767070852,0.25074622328250307,0.285515922626349,1.8349229416913093,0.9594217840238797,-0.49313292676366016,-0.7110866970457456
C1,CP17,5,FN,12,2.249753518473351,136.53810140676632,2,121,121,TRUE,0.09295991654800402,0,0,1,0,3,7.537930065617225,-0.8487671568521589,0.6582260363568341,0.20470602012449424,-0.5826620752161199,1.3406453595173913,0.7182178826119542,0.22212346515375317,0.054831141573875856
C1,CP17,5,FN,13,1.8066043204454914,332.81039636209135,1,121,121,TRUE,19.52361893832537,0,0,1,0,3,17.58774709703673,0.6245676972591871,0.8769890449327198,0.6641417844758726,0.7499104367741235,0.8417124285053313,-0.3305532459109897,0.480620729934853,-0.7713282423877127
C1,CP17,5,FN,14,2.188648216327941,123.05390564352129,1,121,121,TRUE,3.9381766038728956,0,0,1,0,3,6.2999154846078715,-0.9499874314822152,0.4176697297520616,0.6933816534397713,0.309170538867458,0.7175491252843169,-0.3269890730746223,-0.5320217608020066,-0.04718632548293217
C1,CP17,5,FN,141,0.3150977694587502,89.95265210792103,3,26,26,TRUE,0.9298593323409134,0,1,0,0,2,23.69388226584158,1.3674369626335925,1.1338227101665654,7.497417087755056,5.083147387084927,0.8947059411658606,2.025289986952264,0.32836137404263643,-3.252604009827791
C1,CP17,5,FN,146,2.2338868304097317,88.87657436492536,3,23,23,TRUE,5.735219060584508,0,0,1,0,3,30.300636441738177,1.7653504596745477,2.749584544146861,-3.4976034967270904,-1.4709838302538027,2.105091600564617,1.9010132329748832,0.2576206686144443,0.02879810105902215
C1,CP17,5,FN,15,-2.944821476241883,183.40070953257066,1,107,107,TRUE,1.5939838608259975,1,0,0,0,1,12.2041010541555,-0.31515891635354604,0.12184712040587198,0.017216748875521742,-0.2684113235796119,-0.10704036158322373,-0.27298301095393895,-0.19124089959358775,0.7937725539144684
C1,CP17,5,FN,16,2.6805213451894714,76.85675590950085,2,38,38,TRUE,3.676112618952984,1,0,0,0,1,12.845722707269978,-0.0025718440177364696,0.7783886048367182,-1.5806067258416299,-1.7764471271033369,0.9494547006158048,1.1595771255025389,-0.20495876459320184,0.6154346642106875
C1,CP17,5,FN,17,2.883313354806336,316.52113195869134,1,121,121,TRUE,4.9224104844850185,1,0,0,0,1,17.29576787726163,0.5022909337514943,0.39946905295061647,-0.6049062119925254,-0.34591140783307595,0.2927553942346409,-0.19437434592325475,0.6098214952493877,0.764711017714067
