Metadata_matrix,Metadata_id,Metadata_condition,Metadata_dose,Track_Sector,mean directionality,sem directionality,mean speed,sem speed,mean xFMI,sem xFMI,mean yFMI,sem yFMI,n,n_per_experiment,fraction per sector in %
FN,C1,CP17,5,1,0.38852884619822875,0.1954577408175045,-0.17546394650708988,0.18148115240754648,-0.9500102349263316,0.23823093139835935,0.38445045599538713,0.1128956054821311,19,35,0.5428571428571428
FN,C1,CP17,5,2,1.2932257022805067,0.7320642846717571,0.7477911133537132,0.6196458492798792,3.945003804237359,1.1381435828475677,-0.03828752545722319,0.9329934666230837,2,35,0.05714285714285714
FN,C1,CP17,5,3,0.11578044226289441,0.2342762969662586,0.06944676312717493,0.28220378051543477,0.34809195860562636,0.2185614392327408,1.0882147870277017,0.15800649364811348,12,35,0.34285714285714286
FN,C1,CP17,5,4,1.0458872722650343,0.9414276720785112,0.47531190353452374,0.4410965220632019,2.976361256431698,0.8380518917171503,-1.4035908918810143,0.5406615336507219,2,35,0.05714285714285714
FN,C1,CP17,50,1,0.20720790196411126,0.09836316862963294,0.16022435923429165,0.08799295198446942,-0.6978897343120624,0.11131500628766244,0.30007722882917853,0.06956826795985836,69,147,0.46938775510204084
FN,C1,CP17,50,2,0.12730999146205893,0.245795125607673,-0.01964242154529966,0.1626141344634176,2.673468011037137,0.2869194139853234,0.009607877735372824,0.1573363727535417,17,147,0.11564625850340136
FN,C1,CP17,50,3,0.16925337100187707,0.12509677307259814,0.16231526427324125,0.14334931507053336,0.6353567143776832,0.14638120999605198,1.103962133665353,0.08942911727991876,46,147,0.3129251700680272
FN,C1,CP17,50,4,0.15371616309521677,0.2838062866836467,0.2477177661815654,0.2070467315190333,0.7568970647181978,0.22331431137588648,-1.0376649153367172,0.21250587543096022,15,147,0.10204081632653061
FN,C2,CP17,5,1,-0.4149094612585338,0.2861667170813718,-0.44753454271097115,0.2857573648230568,-0.9604465186640545,0.09594575433998695,-0.11948983063742627,0.10046621694187285,38,91,0.4175824175824176
FN,C2,CP17,5,2,-0.945114281433224,0.38184368900075916,-0.4202484547554472,0.4996242472032507,0.9073203824633123,0.12243152211170177,0.20610642481245484,0.14364170750859623,13,91,0.14285714285714285
