Metadata_dose,Metadata_condition,mean sneaker,sem sneaker,mean walker,sem walker,mean runner,sem runner,n
5,CP17,0.3220338983050847,0.0352207379065099,0.5084745762711864,0.0376835041645473,0.1694915254237288,0.02828067001999638,177
5,SP17,0.24056603773584906,0.02942530258707407,0.4386792452830189,0.03416157350678435,0.32075471698113206,0.03213354306827659,212
50,CP17,0.2802690582959641,0.021290833247074578,0.5381165919282511,0.023633299941223918,0.18161434977578475,0.01827570240162037,446
50,SP17,0.18181818181818182,0.028280500765375232,0.6203208556149733,0.03558443628801667,0.19786096256684493,0.029211133727576503,187
None,vehicle,0.25,0.02926028679903264,0.5,0.033786868919974296,0.25,0.02926028679903264,220
