Metadata_dose,Metadata_condition,mean sneaker,sem sneaker,mean walker,sem walker,mean runner,sem runner,n
5,CP17,0.3133159268929504,0.01677022949118883,0.4856396866840731,0.018070080764220425,0.2010443864229765,0.014490273551448154,766
5,SP17,0.4690265486725664,0.02714418248791952,0.40412979351032446,0.026691803559173367,0.12684365781710916,0.01810181136844033,339
50,CP17,0.29711375212224106,0.01884582860528748,0.5280135823429541,0.020587264044152738,0.17487266553480477,0.015665086205392423,589
50,SP17,0.35129310344827586,0.022185466947244745,0.3599137931034483,0.022306322876113546,0.28879310344827586,0.021062062300647305,464
None,vehicle,0.25028312570781425,0.014585796009508652,0.49943374858437145,0.016835864946000572,0.25028312570781425,0.014585796009508652,883
